Date,Open ,High ,Low ,Close ,Volume
14-Jul-16,96.97,98.99,96.97,98.6,365739
15-Jul-16,98.81,99.3,98.38,98.5,275735
18-Jul-16,98.77,100.13,98.6,99.78,337379
19-Jul-16,99.45,100.01,99.25,99.92,219213
20-Jul-16,99.84,100.46,99.73,100.18,247570
21-Jul-16,100.28,101,98.87,99.07,291687
22-Jul-16,99.25,99.3,98.31,98.38,262356
25-Jul-16,98.66,98.84,96.92,97.06,360051
26-Jul-16,97.09,103.84,96.16,103.25,437516
27-Jul-16,101.86,104.67,101.86,103.44,807818
28-Jul-16,103.4,104.58,102.7,104.54,355843
29-Jul-16,104,104.55,103.68,104.25,252828
1-Aug-16,104.4,106.24,104.21,106.19,354232
2-Aug-16,106,106.3,94.66,104.44,313788
3-Aug-16,104.41,105.92,104.32,105.88,278348
4-Aug-16,106,106,105.22,105.85,251298
5-Aug-16,99.65,107.65,99.65,107.54,358780
8-Aug-16,107.54,108.43,107.16,108.37,262377
9-Aug-16,108.41,108.94,108.01,108.67,240929
10-Aug-16,108.67,108.93,107.76,107.88,224222
11-Aug-16,108,108.93,107.85,108.03,255257
12-Aug-16,107.93,108.44,107.76,108.11,173485
15-Aug-16,108.27,109.99,108.08,109.97,239184
16-Aug-16,109.99,110.23,109.21,109.38,289661
17-Aug-16,109.63,109.64,108.34,109.24,228211
18-Aug-16,109.35,109.6,108.95,109.21,207341
19-Aug-16,109.02,109.69,108.36,109.42,238647
22-Aug-16,109,109.79,107.85,108.28,238754
23-Aug-16,108.35,109.32,108.35,108.88,199823
24-Aug-16,108.94,109.05,107.68,107.9,220797
25-Aug-16,107.97,108.05,106.67,107.59,228996
26-Aug-16,107.4,107.95,106.31,106.9,258976
29-Aug-16,106.7,107.44,106.29,106.62,234812
30-Aug-16,106.59,107.1,103.5,105.99,231876
31-Aug-16,105.92,109.17,105.64,105.99,278602
1-Sep-16,106.13,106.8,105.62,106.74,221112
2-Sep-16,106.75,108,106.74,107.75,242522
6-Sep-16,107.96,108.3,107.51,107.86,253760
7-Sep-16,107.87,108.76,107.07,108.15,395115
8-Sep-16,108.21,108.36,105.24,105.43,495471
9-Sep-16,105.39,105.72,102.79,102.79,437141
12-Sep-16,102.01,105.8,101.8,105.71,424716
13-Sep-16,105.28,108.79,104.9,107.81,580498
14-Sep-16,108.23,113.03,107.66,111.91,1066001
15-Sep-16,111.7,115.73,111.51,115.41,857404
16-Sep-16,115.53,116.13,114.04,114.94,730278
19-Sep-16,115.05,116.18,113.25,113.4,445704
20-Sep-16,113.58,114.12,112.51,113.65,319443
21-Sep-16,114.02,114.94,112.44,113.66,341405
22-Sep-16,113.71,114.94,113.68,114.6,287907
23-Sep-16,114.45,114.91,111.55,112.23,499746
26-Sep-16,111.29,113.39,111.01,112.93,282796
27-Sep-16,113.5,113.56,112.34,113.05,227742
28-Sep-16,113.1,114.64,113.08,113.85,276703
29-Sep-16,113.85,113.95,111.8,112.19,339296
30-Sep-16,111.75,113.37,111.5,113.05,348308
3-Oct-16,112.97,113.4,112.28,112.63,201197
4-Oct-16,112.52,114.31,112.3,112.89,280343
5-Oct-16,114.29,114.29,112.69,113.46,202434
6-Oct-16,113.25,114.34,112.8,113.81,268599
7-Oct-16,113.8,114.56,113.51,113.93,230483
10-Oct-16,114.15,116.75,113.59,116.36,339141
11-Oct-16,116.41,119,115.75,116.49,606482
12-Oct-16,116.85,117.98,116.05,117.23,357782
13-Oct-16,116.9,117.44,115.72,116.98,335042
14-Oct-16,117.23,118.17,116.67,117.6,323966
17-Oct-16,117.64,118,116.78,117.8,221954
18-Oct-16,117.9,118.5,117.2,117.41,223413
19-Oct-16,117.08,117.85,113.8,117.03,187197
20-Oct-16,117.22,117.38,116.33,117.17,228038
21-Oct-16,117.17,117.26,116.28,116.54,218773
24-Oct-16,116.67,117.74,116.6,117.7,218633
25-Oct-16,117.96,126.32,114.56,114.95,452231
26-Oct-16,114.35,118.18,113.31,115.54,623653
27-Oct-16,115.59,115.95,114.1,114.22,325499
28-Oct-16,114,115.3,113.45,113.61,359429
31-Oct-16,113.89,114.23,113.2,113.54,249981
1-Nov-16,113.78,115.15,110.53,111.4,403196
2-Nov-16,111.2,117.63,110.7,110.91,249790
3-Nov-16,110.74,111.46,109.43,109.65,249633
4-Nov-16,109.83,110.25,107.71,108.8,285553
7-Nov-16,110.65,110.81,109.46,110.34,299727
8-Nov-16,110.26,111.72,109.7,111.46,222325
9-Nov-16,107.99,111.32,107.7,111,538972
10-Nov-16,111.54,112,105.83,107.7,526557
11-Nov-16,107.5,108.87,106.5,108.52,317147
14-Nov-16,108.78,108.85,104.08,105.5,469571
15-Nov-16,105.87,107.68,105.6,107.11,294491
16-Nov-16,107.11,110.23,106.3,109.99,357876
17-Nov-16,109.99,110.35,108.83,109.85,265092
18-Nov-16,109.54,111,109.13,110.27,241981
21-Nov-16,110.2,111.99,110,111.8,264092
22-Nov-16,112,112.42,111.4,111.77,234873
23-Nov-16,111.79,111.9,110.33,111.15,253974
25-Nov-16,110.71,112,110.45,111.75,106703
28-Nov-16,111.65,112.47,111.18,111.5,240426
29-Nov-16,111.53,112.03,110.07,111.46,264540
30-Nov-16,111.46,112.2,110.27,110.65,329658
1-Dec-16,110.24,110.94,109.03,109.7,329803
2-Dec-16,109.3,110.09,108.76,109.84,228876
5-Dec-16,110.01,110.56,108.25,109.11,292923
6-Dec-16,109.34,110.45,109.1,109.93,240325
7-Dec-16,110.08,111.19,108.83,110.85,273945
8-Dec-16,110.95,112.43,110.5,112.3,242010
9-Dec-16,112,114.7,111.62,113.79,313158
12-Dec-16,113.42,115,112.49,113.13,240091
13-Dec-16,113.13,115.92,113.13,115.28,377164
14-Dec-16,115.25,116.2,114.83,115.29,305815
15-Dec-16,115.02,116.73,114.68,115.9,274888
16-Dec-16,115.53,116.53,115.35,115.92,369310
19-Dec-16,115.82,117.38,115.6,116.64,227410
20-Dec-16,116.5,117.5,116.27,116.96,185960
21-Dec-16,116.87,117.4,116.66,117,167686
22-Dec-16,116,117.06,115.64,116,237129
23-Dec-16,115.91,116.56,115.59,116.55,130076
